,feature1,feature2,label_y
0,8.660254037844387,-5.0,0
1,8.71779203523432,-4.898989898989899,0
2,8.773789936975795,-4.797979797979798,0
3,8.82827704967104,-4.696969696969697,0
4,8.88128117966698,-4.595959595959596,0
5,8.932828725429212,-4.494949494949495,0
6,8.982944762291902,-4.393939393939394,0
7,9.031653120326844,-4.292929292929293,0
8,9.078976455989936,-4.191919191919192,0
9,9.124936318129423,-4.090909090909091,0
10,9.16955320887572,-3.9898989898989896,0
11,9.21284663987611,-3.888888888888889,0
12,9.254835184288153,-3.787878787878788,0
13,9.295536524902,-3.686868686868687,0
14,9.33496749872351,-3.5858585858585856,0
15,9.373144138316087,-3.484848484848485,0
16,9.41008171016926,-3.383838383838384,0
17,9.445794750335342,-3.282828282828283,0
18,9.480297097551912,-3.1818181818181817,0
19,9.513601924046837,-3.080808080808081,0
20,9.545721764203684,-2.97979797979798,0
21,9.576668541248775,-2.878787878787879,0
22,9.60645359210588,-2.7777777777777777,0
23,9.635087690551227,-2.676767676767677,0
24,9.662581068789407,-2.575757575757576,0
25,9.68894343755969,-2.474747474747475,0
26,9.714184004872584,-2.3737373737373737,0
27,9.738311493467522,-2.272727272727273,0
28,9.76133415707447,-2.171717171717172,0
29,9.783259795555043,-2.070707070707071,0
30,9.804095768991989,-1.9696969696969693,0
31,9.823849010789878,-1.868686868686869,0
32,9.842526039844437,-1.7676767676767675,0
33,9.860132971832694,-1.6666666666666663,0
34,9.876675529671736,-1.5656565656565655,0
35,9.89215905318948,-1.4646464646464643,0
36,9.906588508046983,-1.3636363636363638,0
37,9.919968493948277,-1.2626262626262623,0
38,9.93230325217027,-1.1616161616161618,0
39,9.943596672442306,-1.0606060606060606,0
40,9.953852299201907,-0.9595959595959592,0
41,9.96307333725073,-0.858585858585859,0
42,9.971262656832058,-0.7575757575757578,0
43,9.97842279814894,-0.6565656565656566,0
44,9.984555975339685,-0.5555555555555554,0
45,9.989664079925411,-0.454545454545455,0
46,9.993748683742284,-0.3535353535353538,0
47,9.996811041368996,-0.2525252525252526,0
48,9.998852092058437,-0.1515151515151513,0
49,9.999872461180368,-0.0505050505050501,0
50,9.999872461180368,0.0505050505050501,0
51,9.998852092058437,0.1515151515151513,0
52,9.996811041368996,0.2525252525252526,0
53,9.993748683742284,0.3535353535353538,0
54,9.989664079925411,0.4545454545454541,0
55,9.984555975339685,0.5555555555555554,0
56,9.97842279814894,0.6565656565656566,0
57,9.971262656832058,0.7575757575757578,0
58,9.96307333725073,0.8585858585858581,0
59,9.953852299201907,0.9595959595959592,0
60,9.943596672442306,1.0606060606060606,0
61,9.93230325217027,1.1616161616161618,0
62,9.919968493948277,1.262626262626262,0
